seed,combined_efficiency,traffic_efficiency,progress_auc,route_speed_efficiency,episode_reward,route_completion,route_progress_m,ego_route_distance_m,elapsed_steps,elapsed_time_s,mean_speed,max_speed,min_speed,low_speed_ratio,front_slow_steps,front_slow_ratio,safe_lane_change_opportunity_steps,safe_lane_change_opportunity_ratio,ego_lane_change_action_steps,ego_lane_change_action_ratio,ego_lane_change_success_steps,ego_overtake_success_steps
101,0.3786889401845298,0.3786889401845298,0.28461117523066226,15.249509480845308,144.75410728898163,0.7701772465073387,152.49509480845308,152.49509480845308,200.0,10.0,12.519761941017187,22.193377834279,0.07813348459817757,0.245,0.0,0.0,0.0,0.0,39.0,0.195,130.0,0.0
102,0.37453529289921933,0.37453529289921933,0.2806691161240241,15.133933301060557,160.92278253950496,0.764340065710129,151.33933301060557,151.33933301060557,200.0,10.0,9.554817895182307,22.192735154975026,0.07813307081597513,0.25,0.0,0.0,0.0,0.0,40.0,0.2,129.0,0.0
103,0.37861258477853266,0.37861258477853266,0.28451573097316574,15.24549895312255,148.2467090539457,0.7699746946021488,152.4549895312255,152.4549895312255,200.0,10.0,12.625967201469631,22.19329023338409,0.07813367105179012,0.245,0.0,0.0,0.0,0.0,40.0,0.2,129.0,0.0
104,0.17436305793252083,0.17436305793252083,0.11918839031688558,3.396400676759749,-63.50024207571829,0.17153538771513882,33.96400676759749,33.96400676759749,200.0,10.0,4.673826153250966,17.121732231186225,0.0,0.6049382716049383,119.0,0.595,0.0,0.0,0.0,0.0,0.0,0.0
105,0.1812155763602326,0.1812155763602326,0.12410983189607389,3.5738802862275327,-56.07791553562197,0.18049900435492588,35.73880286227533,35.73880286227533,200.0,10.0,4.008597385679943,17.47941705483582,0.0,0.5903614457831325,117.0,0.585,0.0,0.0,0.0,0.0,0.0,0.0
106,0.18662451691157345,0.18662451691157345,0.12911397947280012,3.758504824950266,-59.40288275742473,0.18982347600758917,37.58504824950266,37.58504824950266,200.0,10.0,6.639873558515919,17.658117396549805,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.32360895718340277,0.32360895718340277,0.23701119647925345,13.73211245359868,144.64919133076498,0.6935410330100342,137.3211245359868,137.3211245359868,200.0,10.0,12.839975188811774,22.164827668126197,0.04705637220976665,0.33,73.0,0.365,0.0,0.0,58.0,0.29,94.0,0.0
108,0.27791471045420496,0.27791471045420496,0.19244547140108953,11.565390196391125,116.2918969127019,0.5841106159793497,115.65390196391124,115.65390196391124,200.0,10.0,9.476744053459301,21.806634868661884,0.0017934764936023938,0.3802083333333333,77.0,0.385,0.0,0.0,61.0,0.305,91.0,0.0
109,0.10765026906108688,0.10765026906108688,0.06572225661621366,2.4777184233136302,-55.73620078995158,0.12513729410674898,24.777184233136303,24.777184233136303,200.0,10.0,5.8777207162986596,14.746200717780171,0.0,0.7246376811594203,153.0,0.765,0.0,0.0,0.0,0.0,0.0,0.0
110,0.17732532364905945,0.17732532364905945,0.1222590641998785,3.5538665782906627,-60.41123293143138,0.1794882110247809,35.53866578290663,35.53866578290663,200.0,10.0,5.380900294728068,17.235602005664482,0.0,0.6024096385542169,117.0,0.585,0.0,0.0,0.0,0.0,0.0,0.0
